Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",62.7000,-7.8000,180.0000,bottom
"C2","10uF","C_0805_2012Metric",60.6000,-2.0000,180.0000,bottom
"C3","0.1uF","C_0402_1005Metric",0.7000,-31.7000,90.0000,bottom
"C4","0.1uF","C_0402_1005Metric",32.6000,-26.7000,45.0000,bottom
"C5","0.1uF","C_0402_1005Metric",32.0000,-8.1000,225.0000,bottom
"C6","0.1uF","C_0402_1005Metric",45.1000,-8.0000,315.0000,bottom
"C7","0.1uF","C_0402_1005Metric",45.1000,-23.0000,90.0000,bottom
"C8","0.1uF","C_0402_1005Metric",47.0000,-11.0000,270.0000,bottom
"C9","0.1uF","C_0402_1005Metric",40.6000,-14.4000,0.0000,bottom
"C10","0.1uF","C_0402_1005Metric",46.1000,-23.0000,90.0000,bottom
"C11","0.1uF","C_0402_1005Metric",40.6000,-18.0000,0.0000,bottom
"C12","0.1uF","C_0402_1005Metric",51.5200,-18.0000,180.0000,bottom
"C13","0.1uF","C_0402_1005Metric",51.5200,-14.0000,180.0000,bottom
"C14","0.1uF","C_0402_1005Metric",46.0000,-11.0000,270.0000,bottom
"C15","1uF","C_0603_1608Metric",42.5000,-11.0000,270.0000,bottom
"C16","1uF","C_0603_1608Metric",41.0000,-11.0000,270.0000,bottom
"C17","2.2uF","C_0603_1608Metric",39.0000,-2.2750,270.0000,bottom
"C18","10uF","C_0805_2012Metric",61.9000,-10.7000,270.0000,bottom
"C19","1uF","C_0603_1608Metric",68.5000,-11.5000,0.0000,bottom
"C20","1uF","C_0603_1608Metric",46.5000,-2.5000,270.0000,bottom
"C21","0.1uF","C_0402_1005Metric",50.0000,-5.5000,0.0000,bottom
"C22","27pF NP0","C_0402_1005Metric",52.5000,-25.0000,270.0000,bottom
"C23","27pF NP0","C_0402_1005Metric",46.5000,-25.0000,90.0000,bottom
"C24","0.1uF","C_0402_1005Metric",26.0000,-8.0000,90.0000,bottom
"C25","1uF","C_0603_1608Metric",27.5000,-8.0000,90.0000,bottom
"C26","1uF 25V","C_0603_1608Metric",18.5000,-10.5000,90.0000,bottom
"C27","1uF 25V","C_0603_1608Metric",12.5000,-14.5000,90.0000,bottom
"C28","1uF 25V","C_0603_1608Metric",13.5000,-11.0000,0.0000,bottom
"C29","1uF 25V","C_0603_1608Metric",13.5000,-9.5000,0.0000,bottom
"C30","1uF 25V","C_0603_1608Metric",13.5000,-6.5000,0.0000,bottom
"C31","1uF 25V","C_0603_1608Metric",16.4000,-6.0000,90.0000,bottom
"C32","4.7uF 25V","C_0805_2012Metric",20.5000,-6.5000,90.0000,bottom
"C33","1uF 25V","C_0603_1608Metric",13.5000,-3.5000,0.0000,bottom
"C34","0.1uF","C_0402_1005Metric",24.2000,-24.8000,0.0000,top
"CR1","DRTR5V0U2SR-7","SOT-143",8.4500,-26.0000,90.0000,top
"D1","RED","LED_0603_1608Metric",-0.5000,-22.5000,180.0000,top
"D2","GREEN","LED_0603_1608Metric",-0.5000,-24.2000,180.0000,top
"D3","20V 1A","D_SOD-123",55.0000,-2.0000,90.0000,bottom
"D4","1N4148","D_SOD-123",61.5000,-15.5000,90.0000,bottom
"D5","GREEN","LED_0603_1608Metric",67.0000,2.0000,90.0000,top
"D6","40V 2A","D_SOD-123F",22.0000,-11.0000,0.0000,bottom
"D7","40V 2A","D_SOD-123F",18.3000,-6.5000,90.0000,bottom
"D8","40V 2A","D_SOD-123F",19.0000,-3.0000,180.0000,bottom
"GRAPHIC1","Graphic","BirdWithPants_Small_Right",6.5000,3.0000,0.0000,top
"GRAPHIC2","Graphic","BirdWithPants_Small_Left",10.5000,3.0000,0.0000,top
"J1","JST-PH 01x02 Male","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",79.0000,-7.5000,0.0000,bottom
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4115-03-C",-0.1650,-30.2500,90.0000,top
"J3","Conn_01x03_Pin","Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",46.0000,-34.5000,90.0000,bottom
"J4","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",34.3650,-39.9600,90.0000,bottom
"J5","E2213PS0E","Hirose_FH34SRJ-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal",10.0000,-12.0000,270.0000,top
"J6","DM3AT-SF","microSD_HC_Hirose_DM3D-SF",23.0000,-21.0000,180.0000,bottom
"L1","10uH 0.8A","L_1008_2520Metric",26.5000,-11.0000,180.0000,bottom
"PCB1","PCB","PCB_PN_REV",82.1500,-32.4500,270.0000,bottom
"Q1","20V 4.2A","SOT-23",64.9000,-10.7000,180.0000,bottom
"Q2","20V 4.2A","SOT-23",51.5625,-2.0500,0.0000,bottom
"Q3","2N7002","SOT-23",58.5000,-15.0000,270.0000,bottom
"Q4","2N7002","SOT-23",64.9625,-14.1500,0.0000,bottom
"Q5","20V 4.2A","SOT-23",51.5500,-32.9375,90.0000,bottom
"Q6","20V 4.2A","SOT-23",36.5000,-16.5000,180.0000,bottom
"Q7","2N7002","SOT-23",36.5000,-20.0000,180.0000,bottom
"Q8","30V 2.2A","SOT-23",23.4375,-7.5500,180.0000,bottom
"Q9","20V 4.2A","SOT-23",31.6000,-3.7000,0.0000,bottom
"R1","5.1k","R_0402_1005Metric",-4.7000,-31.1000,270.0000,bottom
"R2","0.47R 1% 1W","R_2512_6332Metric",60.5000,1.0000,0.0000,bottom
"R3","5.1k","R_0402_1005Metric",3.8000,-26.5000,0.0000,bottom
"R4","287R","R_0402_1005Metric",2.0000,-22.5000,0.0000,bottom
"R5","115R","R_0402_1005Metric",2.0000,-24.2000,0.0000,bottom
"R6","1.33k","R_0402_1005Metric",71.1000,-4.2750,270.0000,bottom
"R7","10k","R_0402_1005Metric",45.0000,-2.0000,270.0000,bottom
"R8","10k","R_0402_1005Metric",67.5000,-9.5000,270.0000,bottom
"R9","100k","R_0402_1005Metric",68.5000,-9.5000,270.0000,bottom
"R10","100k","R_0402_1005Metric",60.4000,-9.7000,270.0000,bottom
"R11","27.4R 1%","R_0402_1005Metric",45.0000,-11.5000,270.0000,bottom
"R12","0R","R_0402_1005Metric",59.5000,-18.0000,90.0000,bottom
"R13","27.4R 1%","R_0402_1005Metric",44.0000,-11.4900,270.0000,bottom
"R14","10k","R_0402_1005Metric",58.5000,-18.0000,270.0000,bottom
"R15","10k","R_0402_1005Metric",52.5000,0.5000,180.0000,bottom
"R16","100k","R_0402_1005Metric",60.4000,-11.7000,90.0000,bottom
"R17","10k","R_0402_1005Metric",56.0000,-5.5000,0.0000,bottom
"R18","1k","R_0402_1005Metric",57.3000,-27.5000,180.0000,bottom
"R19","10k","R_0402_1005Metric",51.5500,-30.4375,180.0000,bottom
"R20","1k","R_0402_1005Metric",47.6000,-22.7000,180.0000,bottom
"R21","115R","R_0402_1005Metric",71.1000,0.5000,270.0000,bottom
"R22","10k 1%","R_0402_1005Metric",39.0000,-16.0000,270.0000,bottom
"R23","10k","R_0402_1005Metric",34.0000,-16.5000,270.0000,bottom
"R24","30k 1%","C_0402_1005Metric",40.0000,-16.0000,90.0000,bottom
"R25","10k","R_0402_1005Metric",41.5000,-39.5000,180.0000,bottom
"R26","10k","R_0402_1005Metric",34.0000,-20.0000,90.0000,bottom
"R27","10k","R_0402_1005Metric",69.5000,-18.5000,270.0000,bottom
"R28","10k","R_0402_1005Metric",69.5000,-25.5000,270.0000,bottom
"R29","10k","R_0402_1005Metric",69.5000,-32.5000,270.0000,bottom
"R30","0.47R 1% 1W","R_2512_6332Metric",25.5000,-3.5000,0.0000,bottom
"R31","10k","R_0402_1005Metric",15.4000,-16.0000,90.0000,bottom
"R32","10k","R_0402_1005Metric",34.1000,-3.7000,90.0000,bottom
"SW1","SW_Push","SW_SPST_TL3342",66.5000,-42.5000,270.0000,top
"SW2","SW_Push","SW_SPST_TL3342",62.6396,-29.1700,0.0000,bottom
"SW3","SW_Push","SW_SPST_TL3342",44.0000,-43.0000,0.0000,bottom
"SW4","SW_Push","SW_SPST_TL3342",74.5000,-17.5000,0.0000,top
"SW5","SW_Push","SW_SPST_TL3342",74.5000,-24.5000,0.0000,top
"SW6","SW_Push","SW_SPST_TL3342",74.5000,-31.5000,0.0000,top
"U1","TP4056","HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias",66.5000,-4.0000,180.0000,bottom
"U2","AP2112K-3.3","SOT-23-5",42.0000,-2.5000,0.0000,bottom
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",53.0000,-9.0000,270.0000,bottom
"U4","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",46.0000,-17.0000,270.0000,bottom
"U5","PA1616S","PA1616S",52.0000,-38.0000,0.0000,top
"Y1","12.000MHz 18pF","Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm",49.5000,-25.0000,0.0000,bottom
